,Maior Valor Nivel,Menor Valor Nivel,Maior Valor Chuva,Menor Valor Chuva,Maior Valor Vazao,Menor Valor Vazao
23310000,15540.0,15537.0,0.0,0.0,,
23466000,199.0,197.0,0.0,0.0,27.21,25.84
23490000,15580.0,15576.0,0.0,0.0,1058.0,1024.0
23790000,69.0,65.0,0.0,0.0,1336.92,1316.61
33250000,155.0,155.0,0.0,0.0,38.69,38.69
33260000,222.0,221.0,0.0,0.0,63.44,63.09
33281000,281.0,280.0,0.0,0.0,73.64,73.21
33286000,164.0,163.0,0.0,0.0,74.55,74.18
33290000,227.0,225.0,0.0,0.0,75.95,75.2
33321000,214.0,213.0,0.0,0.0,7.29,7.01
33380000,69.0,66.0,0.0,0.0,1.27,0.91
33420000,251.0,251.0,0.0,0.0,11.29,11.29
33480000,63.0,63.0,0.0,0.0,33.84,33.84
33530000,141.0,140.0,0.0,0.0,40.21,39.89
33550000,120.0,118.0,0.0,0.0,44.06,43.26
33590000,62.0,60.0,0.0,0.0,46.45,45.41
33630000,154.0,151.0,0.0,0.0,51.61,50.06
33661000,224.0,224.0,0.0,0.0,12.01,12.01
33680000,266.0,265.0,0.0,0.0,52.17,51.55
33690100,322.0,313.0,0.0,0.0,,
33730000,160.0,159.0,0.0,0.0,13.83,13.64
33760000,250.0,246.0,0.0,0.0,36.08,35.05
33770000,238.0,224.0,0.0,0.0,7.14,6.06
34010000,279.0,279.0,0.0,0.0,57.32,57.32
34020000,312.0,311.0,0.0,0.0,60.15,59.51
34020980,428.0,427.0,0.0,0.0,143.0,142.0
34040500,,,0.0,0.0,,
34129980,472.0,470.0,0.0,0.0,256.0,255.0
34130000,278.0,275.0,0.0,0.0,77.79,75.61
34160900,132.0,130.0,0.0,0.0,117.0,115.0
34170000,134.0,133.0,0.0,0.0,115.48,114.44
34311000,251.0,248.0,0.0,0.0,299.98,294.12
34820000,240.0,240.0,0.0,0.0,301.85,301.85
946005,,,0.0,0.0,,
